entity,hub,out_strength
r u s s e l b u c k,0.000570372,16
SKiBiLiBoP,0.000569411,12
Beastie Boys,0.000568359,166
Shoebill,0.000567522,39
Gelbart,0.000565519,14
Progress,0.000564108,5
DJ Tripp,0.000559663,23
Witt Lowry,0.000558661,10
Ariana Grande,0.000558333,10
DJ Supreme,0.000550636,4
Minty Fresh Beats,0.000549245,20
NoteGeek,0.000547042,2
CosmicMashups,0.000540166,47
Kap Slap,0.000526018,4
Dr. Waumiau,0.000522129,12
The Nick Show,0.000519126,4
Norwegian Recycling,0.000517329,15
DJ Horizon,0.000515463,3
Blank Banshee,0.000510348,18
William Maranci,0.000508793,20
DJ Shadow,0.000507679,203
K.Flay,0.000505744,12
daisyxkneesocks,0.000501342,4
Amoraboy,0.000500623,14
Devon Hendryx,0.000496164,6
De La Soul,0.000492605,220
Blade,0.000490197,2
SM:LY,0.000488663,3
OVERWERK,0.000485773,8
The Melker Project,0.000485064,15
David A,0.000478812,11
Theo Howard,0.000476876,6
Brainkiller Prodigy,0.000472217,21
Ryan Hemsworth,0.000471429,44
six impala,0.000468078,13
Aesop Rock,0.000467675,12
Laura Les,0.000465111,7
MadMixMustang,0.000464554,29
Car Sofa,0.000463587,141
MixmstrStel,0.000461651,2
let's be real,0.000461358,8
Max Tannone,0.000456354,59
Inhumanz,0.000455172,35
Corey TheHuman,0.000454479,3
team9,0.000450699,4
Gemitaiz,0.000449266,50
racc,0.000447835,13
Madonna,0.00044725,26
nect4r,0.000447054,10
Top Jimmy Page,0.000445071,50
chris†††,0.000443262,27
Mabinogion,0.000442671,12
The Airport District,0.000440742,20
DJ Dumpz,0.0004386,8
metrosexualthug,0.000438533,4
Dyno Luke,0.000435721,6
Pent Up Pup,0.000434438,2
Sean NH,0.000434041,3
Rihanna,0.000432347,16
DJ Not-i,0.000430397,11
The Glitch Mob,0.000428868,24
Kosakii,0.000427792,2
Ken Carson,0.000427691,2
Ye,0.000427514,124
Rostam,0.0004274,2
The Reborn Identity,0.000427382,1
Liam,0.000427382,1
DJ Matt Hite,0.000427382,1
DJ BP,0.000427382,1
DJ Gizmo,0.000427382,1
Prosac,0.000427382,1
DJ Fac,0.000427382,1
Big Spider's Back,0.000427382,1
Pomai,0.000427382,1
Neiltomo,0.000427382,1
Xam,0.000427382,1
leenuz,0.000427382,1
JEON SOMI,0.000427382,1
Litehouse,0.000426507,21
DJ Cummerbund,0.000426129,12
Brawlcats,0.000425142,2
HappyHappy,0.000423747,2
gvrlstink,0.000423147,1
The Hood Internet,0.000421546,66
4lung,0.000420097,37
Wick‐it the Instigator,0.000418144,44
DJ Morgoth,0.000417699,36
beat_shobon,0.000416264,23
"DJ Freddy, King of Pants",0.000409612,7
Discobuster,0.000407858,4
megamanlego,0.000404798,5
Ammo,0.000402517,4
fetchrover,0.000399997,3
samtrax,0.000393465,3
Kasumi,0.000392176,2
Suneel Gurpur,0.000391684,3
Kid Cudi,0.000388665,14
A$AP Croissant,0.000388464,4
Eonothem,0.000385885,3
supwrman32,0.000385772,2
lihanEAD,0.000385772,2
Eiden XII,0.000384713,18
A Plus D,0.000381956,5
beastboy,0.000381727,8
Krewella,0.000380295,64
Dntel,0.000379041,10
Virtual Riot,0.000378173,20
EDDIE,0.000378134,11
Busta Rhymes,0.000377183,68
Calvin Harris,0.000375852,3
Boot Of Fighters,0.000375837,2
UZUM3,0.000375821,1
Lola Sebastian,0.000375821,1
Tek lintowe,0.000370493,6
DJ Outblast,0.000367648,4
Mic The Snare,0.000367533,11
Anthrax,0.000366448,20
Mashup-Germany,0.000363857,24
DJ Bromide,0.000361718,3
Vrey Is Grey,0.000361388,16
Justice,0.00036121,10
Kaysha,0.000360527,2
Mere Notilde,0.000360324,12
goreshit,0.000360186,247
Polygon Dream,0.000360045,24
Crapface,0.000357886,3
Ellie Spectacular,0.000357465,17
Amanda Palmer,0.000356888,2
St. Teresa's Secondary School,0.000356104,6
The Freelance Hellraiser,0.000355719,14
Coco Jones,0.000354937,2
BotanicSage,0.000354668,16
DJ Rob Boskamp,0.000354252,11
Hollertronix,0.000354181,2
Sabrepulse,0.000353819,4
Backxwash,0.000353819,4
Dropbass,0.000353789,2
LeiaFox,0.000353774,1
Bobby Brown,0.000353774,1
DJ Erb,0.000353774,1
Sahy Uhns,0.000353774,1
Elvis Presley,0.000353774,1
FVLCRVM,0.000353774,1
Andy MacMillan,0.000353774,1
Metallica,0.000353774,1
