source_track,times_sampled_by_brazil
Dr. Silvana & Cia — Serão Extra (1985) [Brazil],1
GUSTAVOEGATOTV — Mac Plus (2021) [Brazil],1
Bungle — Cocooned (2017) [Brazil],1
Alibi — Rave Digger (2022) [Brazil],1
Spunk — Hot Flashes (1981) [United States],1
Greg & Steve — The Body Rock (1985) [United States],1
Jaloo — Ah! Dor! (2015) [Brazil],1
DJ Chap — Inna Streets (2013) [Brazil],1
Belchior — Sujeito de sorte (1976) [Brazil],1
Amon Tobin — Ruthless (reprise) (2005) [Brazil],1
FTampa — 5 Days (2014) [Brazil],1
Rush — Tom Sawyer (1981) [Canada],1
Renato Cohen — Acid Rollercoaster (2023) [Brazil],1
Alok — Allein Allein (2024) [Brazil],1
Planet Hemp — Dig dig dig (hempa) (1995) [Brazil],1
Wrecked Machines — Face It (2006) [Brazil],1
FFLORA — Butterflies (2021) [Brazil],1
Flavia Coelho — De Paris à Rio (2010) [Brazil],1
LS Jack — Você chegou (1999) [Brazil],1
Anitta — Girl From Rio (2021) [Brazil],1
André Sobota — Saturate (2019) [Brazil],1
Tamia — Almost (2006) [Canada],1
Azymuth — Manhã (1975) [Brazil],1
Nação Zumbi — Banditismo Por Uma Questão de Classe (1994) [Brazil],1
Azymuth — Arabutã (2025) [Brazil],1
Sérgio Mendes — Comin' Home Baby (1968) [Brazil],1
Nação Zumbi — Risoflora (1994) [Brazil],1
Edson Cordeiro — Ave Maria (1996) [Brazil],1
Barney — Laugh With Me (1999) [United States],1
Kelly Key — Quarto 313 (2015) [Brazil],1
Azymuth — Montreal City (1975) [Brazil],1
Phillipi & Rodrigo — New Beach (2016) [Brazil],1
"Francisco, el Hombre — Triste, Louca ou Má (2016) [Brazil]",1
Jaloo — A cidade (2015) [Brazil],1
Flavia Coelho — Bossa bika nova (2010) [Brazil],1
Digitaria — Favourite Addiction (2014) [Brazil],1
Maria Rita — Cântico brasileiro nº 3 (Kamaiurá) (1988) [Brazil],1
Léo Leobons — Rei do Norte (2018) [Brazil],1
Elowinz — Unifield Fabric (2019) [Brazil],1
Amon Tobin — Cruel Like Flint (2020) [Brazil],1
Azymuth — Faça de conta (1975) [Brazil],1
Level 2 — Fast Lane (2013) [Brazil],1
MC Fioti — Bum bum tam tam (Jonas Blue remix) (2018) [Brazil],1
Urbandawn — Words to Say (2014) [Brazil],1
FTampa — Run Away (vocal mix) (2013) [Brazil],1
Aesthetische — Red Trackers (2013) [Brazil],1
CSS — Let’s Make Love and Listen to Death From Above (2005) [Brazil],1
Arnaldo & Andressa — Altilla noyolo (2017) [Brazil],1
Michel Teló — Ai se eu te pego! (2011) [Brazil],1
Sérgio Mendes — Maracatu atômico (2010) [Brazil],1
Léo Leobons — Teu amor (2018) [Brazil],1
Zuffo — Mess (extended mix) (2023) [Brazil],1
Hi-5 — Jump Forward Jump Back (1999) [Australia],1
Burn in Noise — Utopia (2020) [Brazil],1
Future Class — Saxfaction (2021) [Brazil],1
"deadmau5 — Get in the Cart, Pig. (2010) [Canada]",1
Darth & Vader — LukeSkyTampa (2011) [Brazil],1
G-Low — System Protected (Darth & Vader remix) (2011) [Brazil],1
Future Frog — Disco Dancer (Darth & Vader remix) (2011) [Brazil],1
Vintage Culture — Too Far Down the Trap (2024) [Brazil],1
Aesthetische — Punch! (2012) [Brazil],1
Léo Leobons — All of Those Things (2018) [Brazil],1
Galantis — Runaway (U & I) (2014) [Sweden],1
Nação Zumbi — A Cidade (1994) [Brazil],1
Ricardo Donoso — Diagonal Environment (2013) [Brazil],1
FTampa — My Day (2011) [Brazil],1
Nação Zumbi — Côco Dub (Afrociberdelia) (1994) [Brazil],1
Ruback — Save It (2015) [Brazil],1
New Radicals — You Get What You Give (1998) [United States],1
Daft Punk — One More Time (2000) [France],1
"LUDMILLA — Down, Down, Down (2022) [Brazil]",1
Léo Leobons — Arará (2018) [Brazil],1
Rouge — Hoje eu sei (2002) [Brazil],1
GUSTAVOEGATOTV — Atimia (2023) [Brazil],1
Amon Tobin — The Clean Up (2005) [Brazil],1
"Chico Buarque — Quem te viu, quem te vê (1994) [Brazil]",1
Quarteto em Cy — Tudo que você podia ser (1997) [Brazil],1
Flavia Coelho — Amor e futebol (2010) [Brazil],1
Scorsi — Crossover (2018) [Brazil],1
Freefire — Dataloss (Darth & Vader remix) (2010) [United Kingdom],1
Duck Sauce — Barbra Streisand (2010) [United States],1
Léo Leobons — Vida (2018) [Brazil],1
Bonde do Rolê — Marina gasolina (2007) [Brazil],1
O Rappa — Minha alma (A paz que eu não quero) (1999) [Brazil],1
Flavia Coelho — De Novo de Novo (2019) [Brazil],1
GUSTAVOEGATOTV — O Planeta Perfeito (2025) [Brazil],1
Azymuth — Jazz Carnival (Space Jazz mix) (1996) [Brazil],1
The Rolling Stones — Brown Sugar (1988) [United Kingdom],1
The Rolling Stones — Start Me Up (1998) [United Kingdom],1
Marcão Baixada — Automóvel Clube (Funk Mix) (2017) [Brazil],1
Jam Thieves — Mammoth (2022) [Brazil],1
HNQO — Drexell (2023) [Brazil],1
Diogo Strausz — Flexível (extended) (2024) [Brazil],1
Naná Vasconcelos — Justo você Berenice (2004) [Brazil],1
Nitri — Break the System (2013) [Brazil],1
CSS — Let’s Make Love and Listen to Death From Above (2007) [Brazil],1
Aesthetische — Omni Presence (2012) [Brazil],1
Digitaria — Teen Years (2007) [Brazil],1
Kurup — Nheengatu (2017) [Brazil],1
Diego & Arnaldo — Relógio parado (2019) [Brazil],1
Urbandawn — Come Together (2019) [Brazil],1
Curtis Mayfield — Freddie’s Dead (1972) [United States],1
DuoScience — Night Traffic (2018) [Brazil],1
Anitta — Envolver (2021) [Brazil],1
Burn in Noise — Psy Drugs (2006) [Brazil],1
Amon Tobin — Displaced (2005) [Brazil],1
Diana Ross — You Are Everything (1973) [United States],1
荘司朗 — Opus 13 (-1) [Japan],1
Coil — The First Five Minutes After Death (“From the Picture Press”) (-1) [United Kingdom],1
Letherette — Maybe (2016) [(unknown)],1
Coil — Broccoli (-1) [United Kingdom],1
Coil — Slur (-1) [United Kingdom],1
CYBERTHING! — Target Hunter (2020) [(unknown)],1
Richard Myhill — Early Riser (a) (-1) [(unknown)],1
Föxx Salema — Constant Fight (2013) [Brazil],1
暗闇DESTINY — 日光SUNRISE (2022) [Brazil],1
Kaito Aman — Disruption (Lucas Romagnoli remix) (2025) [Brazil],1
Cement Tea — Mental Gauge (2020) [Brazil],1
Felguk — Slice & Dice (2013) [Brazil],1
Coil — Paranoid Inlay (-1) [United Kingdom],1
Coil — Unhappy Rabbits (-1) [United Kingdom],1
Claudinho Brasil — Bach (2013) [(unknown)],1
Collette Warren — One Exception (2018) [(unknown)],1
Jonas C. Haefeli — Lakes and Landscapes (-1) [(unknown)],1
"Nação Zumbi — Rios, pontes e overdrives (1994) [Brazil]",1
ASAGEN — GO! GO! ROKKO CHAN (2012) [(unknown)],1
Candy Bowman — Since I Found You (1988) [(unknown)],1
天気予報 — お天気 (2019) [(unknown)],1
Oliver Ferrer — Night Rain (Original Mix) (-1) [Brazil],1
