source_track,times_sampled_by_brazil
Vintage Culture — Nothing Ever Changes (2024) [Brazil],2
Tiago Iorc — Nothing but a Song (2008) [Brazil],2
Chico Science — Maracatu Atômico (1996) [Brazil],2
Flavia Coelho — Sunshine (acoustic version) (2010) [Brazil],2
Bebel Gilberto — Sem contenção (2000) [Brazil],2
Léo Santana — Século 21 (2020) [Brazil],2
Aghast View — Timeless (2000) [Brazil],2
Franz Ferdinand — The Dark of the Matinée (2004) [United Kingdom],2
Elowinz — Granjurema (2019) [Brazil],2
Cement Tea — Another Tsundere Thing (2020) [Brazil],2
Alok — Hear Me Now (2016) [Brazil],2
FTampa — Chaos (2013) [Brazil],2
Lokua Kanza — Plus vivant (feat. Corneille) (2005) [Democratic Republic of the Congo],1
Cecilia Krull — My Life Is Going On (2017) [Spain],1
Chico Science — Amor de Muito (1996) [Brazil],1
Ricardo Donoso — The Redeemer (2013) [Brazil],1
MOSQ — Soul Phrase -reload- (2026) [Brazil],1
Marilia Gabriela — Uatzapi Blues (2021) [Brazil],1
Bibi Babydoll — Automotivo Bibi fogosa (2023) [Brazil],1
Run‐D.M.C. — Dumb Girl (1986) [United States],1
N.W.A — She Swallowed It (1991) [United States],1
James Brown — Funky President (People It’s Bad) (1974) [United States],1
The Blackbyrds — Do It Fluid (1995) [United States],1
Azymuth — Periscópio (1975) [Brazil],1
Detonautas Roque Clube — Outro Lugar (Dan Mattos e DeepDelic remix) (extended version) (2020) [Brazil],1
Thaíde & DJ Hum — Corpo fechado (2001) [Brazil],1
The Honey Drippers — Impeach the President (1973) [United States],1
James Brown — Papa Don’t Take No Mess (1991) [United States],1
Sérgio Mendes & Brasil ’66 — Mas que nada (1966) [Brazil],1
Sérgio Mendes & Brasil ’66 — The Frog (1967) [Brazil],1
Gilberto Gil — Aquele abraço (1996) [Brazil],1
Acuna — I’ll Be Gone (2013) [Brazil],1
Rouge — 1000 segredos (2002) [Brazil],1
Gilberto Gil — Oslodum (2004) [Brazil],1
Lorena Simpson — Breathe Again - Extended Version (2012) [Brazil],1
Cement Tea — Yuno's Weird Nightmares (2020) [Brazil],1
Flavia Coelho — Nosso Amor (2019) [Brazil],1
Hi-5 — So Many Animals (2000) [Australia],1
GUSTAVOEGATOTV — Travei na Pose (2021) [Brazil],1
Lilly Wood and The Prick — Prayer in C (2010) [France],1
Föxx Salema — Emotional Rain (2019) [Brazil],1
GUSTAVOEGATOTV — FELINE (2024) [Brazil],1
Ice Cube — The Predator (1992) [United States],1
Funkadelic — Music for My Mother (1992) [United States],1
Barbatuques — Baianá (2018) [Brazil],1
The Soul Searchers — Ashley’s Roachclip (1998) [United States],1
hummingdeath — underneath the ruin (2020) [Brazil],1
hummingdeath — 𝙩𝙚𝙘𝙝𝙨𝙪𝙞𝙘𝙞𝙙𝙚 << (2020) [Brazil],1
Ｓｐａｔｉａｌ Ｍａｎｕｆａｃｔｕｒｅ Ｌｔｄ. — 𝙽𝚒𝚗𝚎 𝙸𝚗𝚌𝚑 𝙲𝚊𝚜𝚝𝚕𝚎𝚜 (2020) [United States],1
hummingdeath — glance (2021) [Brazil],1
hummingdeath — speaktothevoid (2020) [Brazil],1
unknownsignals — depletion (2019) [Brazil],1
unknownsignals — find myself around never (2019) [Brazil],1
꧁꧂ — 12З (2020) [Russia],1
CXRPSE — CLOUDY DAYS (2016) [(unknown)],1
sleepy randy — river (2021) [(unknown)],1
Chic — Good Times (1979) [United States],1
Léo Leobons — Caboclo (2018) [Brazil],1
Wanessa Camargo — Fora Do Radar (2023) [Brazil],1
Elowinz — 12 Works (2013) [Brazil],1
Amon Tobin — Kokubo Sosho Stealth (2005) [Brazil],1
Black Eyed Peas — Pump It (2005) [United States],1
Darth & Vader — Return of the Jedi (2011) [Brazil],1
Falamansa — Rindo à toa (2000) [Brazil],1
Gabi Luthai — Ela tá voando (2021) [Brazil],1
Dom La Nena — Quién podrá saberlo (2021) [Brazil],1
Retrigger — Duck You Sucker! (2007) [Brazil],1
Bebel Gilberto — River Song (2004) [Brazil],1
Astrud Gilberto — Berimbau (1966) [Brazil],1
Bhaskar — Não Sei Parar (2023) [Brazil],1
Alok — Car Keys (Ayla) (2023) [Brazil],1
Isaac Hayes — Walk on By (1969) [United States],1
Bea Duarte — Antes de sair (2020) [Brazil],1
Felguk — 2nite (2021) [Brazil],1
Cement Tea — Mofu Mofu (2020) [Brazil],1
ESG — UFO (1981) [United States],1
Michael Jackson — Thriller (2006) [United States],1
Marvin Gaye — “T” Stands for Trouble (1972) [United States],1
Natur — Fusion Dub III (2023) [Brazil],1
HNQO — I'm Lost in the Groove (2023) [Brazil],1
Léo Leobons — Ogún (2018) [Brazil],1
Luka — Tô nem aí (2003) [Brazil],1
Lia Clark — Tome Curtindo (2016) [Brazil],1
Diogo Strausz — Junto de Nós (2024) [Brazil],1
Detroyt — Seriously in Love (1984) [United States],1
Pedra Branca — Novo Testamento (2011) [Brazil],1
Marcos & Belutti — Aquele 1% (2015) [Brazil],1
μ's — Snow halation (2010) [Japan],1
Gilberto Gil — Essa é pra tocar no rádio (1992) [Brazil],1
Amon Tobin — El Cargo (2005) [Brazil],1
GUSTAVOEGATOTV — Tô Ficando Louco (2020) [Brazil],1
Amon Tobin — Carry on Marmaduke (2011) [Brazil],1
GUSTAVOEGATOTV — PÓS-LICEU (2050) (2025) [Brazil],1
KARAN! — TAPANÁ (2022) [Brazil],1
Slayer — Angel of Death (1986) [United States],1
"James Brown — Funky Drummer, Part 1 (1970) [United States]",1
James Brown — Mind Power (2005) [United States],1
Amon Tobin — Ruthless (2005) [Brazil],1
Funk Buia — Ragga'Rap (2013) [Brazil],1
GUSTAVOEGATOTV — Ô Meu Deus Wanna Pum! (2020) [Brazil],1
Maria Rita — Lamento Africa / Rictus (1988) [Brazil],1
JetLag Music — Trem-Bala (2017) [Brazil],1
Banda Eva — Eva (1997) [Brazil],1
Sérgio Mendes & Brasil ’66 — Ye‐Me‐Le (1980) [Brazil],1
Los Hermanos — A flor (2004) [Brazil],1
Racionais MC’s — V.L. (parte II) (2002) [Brazil],1
GUSTAVOEGATOTV — Pista 5.0 (2023) [Brazil],1
Bebel Gilberto — Aganju (2008) [Brazil],1
Metá Metá — Obatalá (2010) [Brazil],1
Eumir Deodato — Also sprach Zarathustra (2001) (1973) [Brazil],1
Vintage Culture — Love or Hate (2024) [Brazil],1
Felguk — All Night Long (2008) [Brazil],1
Flavia Coelho — Periferia (2010) [Brazil],1
Bea Duarte — Mar (2023) [Brazil],1
Azymuth — Caça a raposa (1975) [Brazil],1
Planet Hemp — Legalize Já (1995) [Brazil],1
Dr Meaker — Right Back (Break remix) (2016) [United Kingdom],1
Critycal Dub — Welcome to the Jungle (2016) [Brazil],1
MC Fats — Inner Soul (2016) [United Kingdom],1
Paul T — Into the Night (2016) [United Kingdom],1
BTK — Try (2016) [United Kingdom],1
DJ Chap — Emperor (2016) [Brazil],1
Paul T — I Still Love You (2016) [United Kingdom],1
Digital & Spirit — Garrison Law (2016) [United Kingdom],1
Alibi — Oxygen (2016) [Brazil],1
DJ Chap — Like a Fyah VIP (2016) [Brazil],1
Need for Mirrors — Bredren (2016) [United Kingdom],1
Alibi — Overaged (2016) [Brazil],1
Level 2 — Born to Run (2016) [Brazil],1
Paul T — Rain (2016) [United Kingdom],1
L‐Side — Turbulence VIP (2016) [Brazil],1
Level 2 — All I Would to Say (2016) [Brazil],1
Mr Joseph — Soul Girl (2016) [United Kingdom],1
Kabuki — Just Hold on VIP (2016) [Germany],1
Serum — Dark Clouds (2016) [(unknown)],1
Tonk — All Dem Sound (2016) [(unknown)],1
Serum — Wiretap (2016) [(unknown)],1
Does Not Compute — Stalker (2016) [(unknown)],1
Simplification — I Need You Now (2016) [(unknown)],1
Submorphics — Higher Ground (2016) [(unknown)],1
Submorphics — Burnig Love (Lenzman remix) (2016) [(unknown)],1
Optiv & BTK — At All Costs (2016) [(unknown)],1
Banda Uó — Catraca (2014) [Brazil],1
Azymuth — Jazz Carnival (1979) [Brazil],1
Alok — It Don’t Matter (2021) [Brazil],1
Daft Punk — Nightvision (2001) [France],1
Different Stage — The Game (extended mix) (2024) [Brazil],1
Amon Tobin — Kokubo Sosho Battle (2005) [Brazil],1
Kid Abelha — Pintura íntima (1984) [Brazil],1
Vintage Culture — Eyes (2015) [Brazil],1
Elekfantz — Blush (radio edit) (2016) [Brazil],1
Alok — Big Jet Plane (Scorsi remix) (2018) [Brazil],1
Alas — Just Say (2022) [Brazil],1
Cement Tea — Doppelganger (2020) [Brazil],1
DJ Chap — Midnight Love (dRamatic & dbAudio remix) (2013) [Brazil],1
Urbandawn — Astrolabe (2012) [Brazil],1
Bebel Gilberto — Samba da benção (2000) [Brazil],1
Kelly Key — Controle (2015) [Brazil],1
Widescream — Funky Town (2011) [Brazil],1
O Rappa — Monstro invisível (2008) [Brazil],1
Alok — Love Is a Temple (Scorsi remix) (2018) [Brazil],1
Coil — A Cold Cell (2001) [United Kingdom],1
