brazilian_source  foreign_derivative  deriver_country  relation  weight
Barbatuques — Baianá (2005) [Brazil]  Nia Archives — Baiana (Maxxumus bootleg) (2022) [(unknown)]  (unknown)  sample  1
Ana Carolina — Problema Social (2005) [Brazil]  Xullaji — Problema social (2011) [Portugal]  Portugal  sample  1
Deize Tigrona — Injeção (2004) [Brazil]  M.I.A. — Bucky Done Gun (2005) [(unknown)]  (unknown)  sample  1
Speed Freaks — Out of Control (1997) [Brazil]  Professional Hairdresser — Nothing Matters and Death Holds No Meaning (2024) [(unknown)]  (unknown)  sample  1
Antonio Pinto — Central do Brasil (1998) [Brazil]  Metal Fingers — Coltsfoot Leaf (2005) [United States]  United States  sample  1
Elza Soares — Mas que nada (2004) [Brazil]  Suonho — Mas Que Nada (Suonho Shuffle Rhythm Renumber) (2012) [Italy]  Italy  remix  1
Marginal Men — Footworkzzzz (2016) [Brazil]  Anna Morgan — Pre-Outlook Mix (2016) [United States]  United States  dj_mix  1
Moonsailor — Cloudpost Zone (Rad Raccoon Theme) (2020) [Brazil]  Jazzy Bits — Cloudpost Zone (2020) [(unknown)]  (unknown)  edit  1
Cazuza — Exagerado (1985) [Brazil]  MDS Music — Exagerado (1998) [(unknown)]  (unknown)  remix  1
Milton Nascimento — Cais (1972) [Brazil]  nakinyko — Mata Ashita (2019) [(unknown)]  (unknown)  mashup  1
Emílio Santiago — O Amigo de Nova York (1983) [Brazil]  Bernardo Pinheiro — Meu Amigo de Nova York (Bernardo Pinheiro Edit) (2020) [(unknown)]  (unknown)  remix  1
Leila Pinheiro — Tudo em cima (1983) [Brazil]  Bernardo Pinheiro — Tudo em Cima (Bernardo Pinheiro Edit) (2020) [(unknown)]  (unknown)  remix  1
Gilberto Gil — To Sao Paulo With Love (Jean Claude Gavri re-edit) (2013) [Brazil]  iloveyoueze — playing funk + disco for the uncs at the family function (2025) [(unknown)]  (unknown)  dj_mix  1
Tati Quebra Barraco — Satisfação (2004) [Brazil]  MashmyAs$ — I Can’t Get Satisfação (The Rolling Stones vs. Tati Quebra-Barraco) (2011) [(unknown)]  (unknown)  mashup  1
Fafá de Belém — Naturalmente (1975) [Brazil]  Bernardo Pinheiro — Naturalmente (Bernardo Pinheiro Edit) (2020) [(unknown)]  (unknown)  remix  1
Milton Nascimento — Francisco (1976) [Brazil]  J. Cole — God’s Gift (2011) [United States]  United States  sample  1
Cazuza — Exagerado (1985) [Brazil]  Rock House Studio — Exagerado (1998) [(unknown)]  (unknown)  remix  1
Alok — Deep Down (2022) [Brazil]  [unknown] — Pop Dance (2022) [(unknown)]  (unknown)  dj_mix  1
Jorge Ben Jor — Chove, chuva (1963) [Brazil]  Aether — Orfeu Negro (2008) [United States]  United States  sample  1
Sérgio Mendes — Samba da Bênção (Samba of the Blessing) (2006) [Brazil]  nakinyko — NO, Thankulate Daikazoku (2010) [(unknown)]  (unknown)  mashup  1
Caetano Veloso — Tonada de luna llena (2003) [Brazil]  Nelly Furtado — Island of Wonder (2003) [Canada]  Canada  sample  1
Marcos Valle — A Paraíba não é Chicago (1981) [Brazil]  Bernardo Pinheiro — A Paraíba Não é Chicago (Bernardo Pinheiro Edit) (2020) [(unknown)]  (unknown)  remix  1
Otto — Bob (1998) [Brazil]  Otto Max — Bob (Edu K remix) (2001) [(unknown)]  (unknown)  remix  1
MC Pogba — Ela Joga na Hora (2025) [Brazil]  1tbsp — Elevator Music (2025) [(unknown)]  (unknown)  dj_mix  1
