foreign_source_track,times_sampled_by_brazil
Ottawan — D.I.S.C.O. (2003) [France],1
Pink Floyd — Another Brick in the Wall (1994) [(unknown)],1
The Dramatics — Just Shopping (Not Buying Anything) (1975) [United States],1
Barney — The Clapping Song (1999) [United States],1
Avalon — Double Trouble (2015) [United Kingdom],1
Leon Russell — Fantasy (1976) [United States],1
Darondo — Didn’t I (2005) [United States],1
"Diana Ross — Stop, Look, Listen (to Your Heart) (1973) [United States]",1
Imagination — Just an Illusion (1982) [United Kingdom],1
Menudo — A Cara o Cruz (1986) [Puerto Rico],1
The Prodigy — Smack My Bitch Up (1997) [United Kingdom],1
KC and the Sunshine Band — Give It Up (1982) [United States],1
Spunk — Hot Flashes (1981) [United States],1
Greg & Steve — The Body Rock (1985) [United States],1
Rush — Tom Sawyer (1981) [Canada],1
Tamia — Almost (2006) [Canada],1
Barney — Laugh With Me (1999) [United States],1
Hi-5 — Jump Forward Jump Back (1999) [Australia],1
"deadmau5 — Get in the Cart, Pig. (2010) [Canada]",1
Galantis — Runaway (U & I) (2014) [Sweden],1
New Radicals — You Get What You Give (1998) [United States],1
Daft Punk — One More Time (2000) [France],1
Freefire — Dataloss (Darth & Vader remix) (2010) [United Kingdom],1
Duck Sauce — Barbra Streisand (2010) [United States],1
The Rolling Stones — Brown Sugar (1988) [United Kingdom],1
The Rolling Stones — Start Me Up (1998) [United Kingdom],1
Curtis Mayfield — Freddie’s Dead (1972) [United States],1
Diana Ross — You Are Everything (1973) [United States],1
荘司朗 — Opus 13 (-1) [Japan],1
Coil — The First Five Minutes After Death (“From the Picture Press”) (-1) [United Kingdom],1
Letherette — Maybe (2016) [(unknown)],1
Coil — Broccoli (-1) [United Kingdom],1
Coil — Slur (-1) [United Kingdom],1
CYBERTHING! — Target Hunter (2020) [(unknown)],1
Richard Myhill — Early Riser (a) (-1) [(unknown)],1
Coil — Paranoid Inlay (-1) [United Kingdom],1
Coil — Unhappy Rabbits (-1) [United Kingdom],1
Claudinho Brasil — Bach (2013) [(unknown)],1
Collette Warren — One Exception (2018) [(unknown)],1
Jonas C. Haefeli — Lakes and Landscapes (-1) [(unknown)],1
ASAGEN — GO! GO! ROKKO CHAN (2012) [(unknown)],1
Candy Bowman — Since I Found You (1988) [(unknown)],1
天気予報 — お天気 (2019) [(unknown)],1
