entity,authority,in_strength
Katy Perry,0.0236598,167
Kesha,0.0234254,137
Lady Gaga,0.0208054,225
Britney Spears,0.0195849,161
Rihanna,0.0194295,142
Maroon 5,0.0116208,76
Ellie Goulding,0.0109438,52
One Direction,0.0109419,46
PSY,0.0106781,247
Taylor Swift,0.0100004,146
David Guetta,0.0096752,66
Adele,0.00947879,60
Coldplay,0.009148,110
Bruno Mars,0.00887935,75
Miley Cyrus,0.00852043,59
OneRepublic,0.00819953,28
Flo Rida,0.00810776,50
Jason Derulo,0.00804595,38
P!nk,0.00798599,51
Usher,0.00755237,55
Linkin Park,0.00747933,225
Jessie J,0.00723069,33
Kelly Clarkson,0.00669573,35
Calvin Harris,0.00667848,54
Avril Lavigne,0.00664083,61
Jennifer Lopez,0.00646738,44
Madonna,0.00624579,161
Owl City,0.00611582,60
Beyoncé,0.00584397,82
Gym Class Heroes,0.00548684,17
Black Eyed Peas,0.00545239,68
Karmin,0.0051009,14
Lana Del Rey,0.00481486,36
LMFAO,0.00475759,88
will.i.am,0.00474787,21
Adam Lambert,0.0046903,16
Pitbull,0.00468865,53
Michael Jackson,0.00451274,206
Avicii,0.00443347,42
Demi Lovato,0.0043751,19
MARINA,0.00434474,27
Taio Cruz,0.00431311,21
B.o.B,0.00427716,28
Muse,0.00422785,61
Lorde,0.00421918,31
Imagine Dragons,0.00415275,36
Nicki Minaj,0.00409739,56
Chris Brown,0.00409679,26
Paramore,0.00395093,34
Shakira,0.00392674,26
Nelly Furtado,0.00385392,31
Daft Punk,0.00384161,359
Ye,0.00380365,179
Cher Lloyd,0.00376831,10
The Ting Tings,0.00370262,32
Justin Bieber,0.00368677,43
澤野弘之,0.00365071,65
Carly Rae Jepsen,0.00353918,83
Christina Aguilera,0.00352989,38
Bastille,0.00348612,15
Little Mix,0.00346339,13
Fun,0.00343375,17
Justin Timberlake,0.00338824,54
Ed Sheeran,0.00337663,38
Kylie Minogue,0.00326999,36
Quad City DJ’s,0.00313003,91
Zedd,0.00307629,32
Florence + the Machine,0.00307326,20
Queen,0.0029925,135
Gwen Stefani,0.00294038,41
Ariana Grande,0.00292003,76
Olly Murs,0.00291455,7
MGMT,0.00289221,38
Mike Posner,0.00271749,11
deadmau5,0.00271136,42
The Wanted,0.0027022,10
JAY‐Z,0.00269716,255
床井健一,0.00266347,32
桜庭統,0.00256962,28
Skrillex,0.00255021,124
Pharrell Williams,0.00254542,25
Beastie Boys,0.00248415,203
Selena Gomez,0.00242422,19
Robin Thicke,0.00240875,12
Gorillaz,0.00238706,98
Eminem,0.0023568,148
The Fray,0.00234026,18
μ's,0.00232271,38
DEV,0.00228334,13
Sean Kingston,0.00228137,23
The Beatles,0.00223622,283
Cobra Starship,0.00218614,6
No Doubt,0.00217748,26
Iggy Azalea,0.00217683,17
Scissor Sisters,0.00210337,12
Tegan and Sara,0.00210133,9
Sara Bareilles,0.00208225,8
Bridgit Mendler,0.00208182,5
Smash Mouth,0.0020353,78
Swedish House Mafia,0.00202037,15
Macklemore & Ryan Lewis,0.0020173,24
MIKA,0.00192612,15
Fall Out Boy,0.00189714,40
The All‐American Rejects,0.00181944,12
Ne‐Yo,0.00181915,10
Enrique Iglesias,0.0018185,10
大谷智哉,0.00178144,30
Daughtry,0.0017593,6
Josh Mancell,0.00173867,26
Sean Paul,0.00173557,23
*NSYNC,0.00173009,15
Hot Chelle Rae,0.00170773,8
Red Hot Chili Peppers,0.00169328,62
Selena Gomez & the Scene,0.00168832,7
Drake,0.00168491,93
Timbaland,0.00167345,22
Christina Perri,0.00166804,5
Green Day,0.00166619,75
Neon Hitch,0.00166546,4
Ciara,0.00164989,22
TLC,0.00162126,22
Busta Rhymes,0.0016153,50
Nine Inch Nails,0.00160144,180
Weezer,0.00159358,83
Ace of Base,0.00154845,12
Icona Pop,0.00152245,12
Limp Bizkit,0.00149401,41
Bon Jovi,0.00148909,28
Falco,0.00148497,35
Capital Cities,0.0014786,6
Far East Movement,0.00145382,11
Lily Allen,0.0014525,50
Train,0.00142999,12
Snoop Dogg,0.00141913,54
Nelly,0.00140194,23
Cheryl,0.00140033,5
Afrojack,0.00139594,10
Oasis,0.00139413,52
Dido,0.00138531,9
3OH!3,0.00138337,10
Major Lazer,0.0013475,25
Jordin Sparks,0.0013292,13
ClariS,0.00132179,25
Hilary Duff,0.00131716,6
Ylvis,0.00130277,6
Nicole Scherzinger,0.00129601,4
Dr. Dre,0.00126406,87
Lights,0.00126048,4
Foxes,0.00125146,5
Dragonette,0.0012512,5
The Killers,0.00125035,41
Michael Bublé,0.00124946,5
Benny Benassi,0.00124929,27
Rita Ora,0.00124909,3
Down With Webster,0.00124909,3
DJ Pauly D,0.00124909,3
Eva Simons,0.00124909,3
Bleachers,0.00124909,3
The Prodigy,0.00124485,85
Fort Minor,0.00124306,53
Backstreet Boys,0.00120272,14
Destiny’s Child,0.00119672,36
Justice,0.00119465,140
Drowning Pool,0.00118081,33
Madeon,0.00117361,39
Nirvana,0.00116957,77
Martin Solveig,0.00114773,16
千石撫子,0.00113161,31
Aphex Twin,0.00112259,100
Travie McCoy,0.0011171,6
Ying Yang Twins,0.00110938,14
Fifth Harmony,0.0010832,8
The Weeknd,0.00106665,55
Leona Lewis,0.00105802,6
Céline Dion,0.00105135,14
AC/DC,0.00104362,46
M83,0.00104291,21
Foster the People,0.00103465,19
Rick Astley,0.00102357,44
Marlon Saunders,0.00102343,14
Alicia Keys,0.00102268,15
Evanescence,0.00100615,35
Fergie,0.00100539,24
The 1975,0.00100454,10
