entity,authority,in_strength
Kiesza,0.00100292,4
Naughty Boy,0.00100292,4
Panic! at the Disco,0.000999848,30
CeeLo Green,0.000999065,8
Finger Eleven,0.000984901,6
Duck Sauce,0.000979068,9
Azealia Banks,0.000976088,7
5 Seconds of Summer,0.000969759,7
Tove Lo,0.000962603,8
Empire of the Sun,0.000959963,10
Sia,0.000959295,15
Robyn,0.000959113,14
Ricky Martin,0.000958839,10
Matchbox Twenty,0.00095483,5
My Chemical Romance,0.000949191,43
Jay Sean,0.000928821,7
Carrie Underwood,0.000921496,4
Example,0.000908084,9
John Newman,0.000900672,4
Eurythmics,0.000881305,30
Run‐D.M.C.,0.00087943,85
Neon Trees,0.000877672,6
Martin Garrix,0.000871103,13
Ludacris,0.000864406,59
Darude,0.000855807,20
My Name Is Kay,0.000844658,3
Natasha Bedingfield,0.000843025,6
Disclosure,0.000842491,6
The Chemical Brothers,0.00083968,58
Metallica,0.000836549,82
Conor Maynard,0.000832865,3
MAGIC!,0.000832728,2
Marianas Trench,0.000832728,2
Bonnie McKee,0.000832728,2
Joe Jonas,0.000832728,2
Shontelle,0.000832728,2
Sam and the Womp,0.000832728,2
Serena Ryder,0.000832728,2
Alex Clare,0.000832728,2
Dru,0.000832728,2
Blur,0.000830799,25
近藤浩治,0.000830503,126
Gotye,0.000827994,39
北村友香,0.000818386,8
Eagles,0.00080993,22
twenty one pilots,0.000788283,29
Snow Patrol,0.000787034,14
Fatboy Slim,0.000780017,40
Led Zeppelin,0.000774062,69
Iron Maiden,0.000767309,22
Soulja Boy,0.000767289,58
Survivor,0.000761451,20
Pat Benatar,0.000756922,15
Deep Purple,0.000753915,27
The Supremes,0.000752993,20
The Jacksons,0.000750102,75
TeddyLoid,0.000738368,11
Missy Elliott,0.00073298,69
Salt‐N‐Pepa,0.000729165,25
Gnarls Barkley,0.000719361,19
Slipknot,0.000711509,28
Alanis Morissette,0.000685566,12
The Pussycat Dolls,0.000685221,13
Kings of Leon,0.000684142,8
Rammstein,0.000677154,21
Jane Remover,0.000668902,42
Rage Against the Machine,0.000667595,24
50 Cent,0.000651969,66
DMX,0.000649744,43
Dua Lipa,0.000646871,43
WILLOW,0.000643568,10
Hunnid-P,0.000633433,20
The Clash,0.000631163,46
Depeche Mode,0.000627724,67
Charli xcx,0.000625108,46
Joan Jett & The Blackhearts,0.000624597,12
SEGA Sound Team,0.000624407,24
Idina Menzel,0.00062298,3
Cher,0.000620622,12
Fountains of Wayne,0.00061436,13
Márcio Stein,0.000613789,6
Black Sabbath,0.000609785,37
Mark Ronson,0.000609736,26
La Roux,0.000609129,16
Post Malone,0.000605901,28
Plain White T’s,0.000603404,12
Daniel Ingram,0.000602108,129
Eiffel 65,0.000600862,23
Vanessa Carlton,0.000584746,21
Big Time Rush,0.000584723,11
Sir Mix‐A‐Lot,0.00058197,16
Clean Bandit,0.000580978,11
Porter Robinson,0.00058017,90
J‐Kwon,0.000577451,21
OutKast,0.000574084,76
The Rolling Stones,0.000572515,68
Chromeo,0.000567984,4
Reel 2 Real,0.000566446,8
Carl Douglas,0.000563811,15
T‐Pain,0.000554958,11
Billie Eilish,0.000552827,39
Iyaz,0.00055236,11
Wiz Khalifa,0.000550667,25
Vengaboys,0.000549128,21
Korn,0.000546697,31
Aerosmith,0.000545017,39
Death Grips,0.000544049,85
Ray Parker Jr.,0.000543533,27
Slayer,0.000542014,28
Nena,0.000541759,12
Bob Marley & The Wailers,0.000537853,59
Sam Smith,0.000537235,13
瀬上純,0.000536325,16
M.I.A.,0.00053559,40
KJ‐52,0.000532504,25
Seeed,0.000530581,7
Lil Nas X,0.000529259,40
Disturbed,0.000526931,33
Cypress Hill,0.000526841,33
Labrinth,0.000522949,4
Beatsteaks,0.000522579,7
Smith & Smart,0.000521588,5
JoJo,0.000520668,4
Alex Gaudino,0.000519048,3
Jesse McCartney,0.000518662,2
2Pac,0.000516216,52
fripSide,0.000511899,6
Alex Burton,0.000511491,5
Kraftwerk,0.000509809,56
Papa Roach,0.000509577,18
“Weird Al” Yankovic,0.000507887,25
Cardi B,0.000501276,26
Van Halen,0.000498548,26
N.W.A,0.000497859,49
Public Enemy,0.00049743,105
Estelle,0.000493745,13
Billy Idol,0.000492895,24
Santana,0.000492311,20
Sublime,0.00048745,8
Halsey,0.000484639,17
The Police,0.000476514,43
Childish Gambino,0.000475839,46
Yolanda Be Cool,0.000474574,7
Massive Attack,0.000470189,76
Faith No More,0.000469792,19
The Who,0.000468017,24
Cash Cash,0.00046707,4
Lil Wayne,0.00046456,48
Lady A,0.000463285,2
Chumbawamba,0.000461479,13
Donna Summer,0.000448201,50
James Brown,0.000448156,197
Europe,0.000446713,10
House of Pain,0.000445704,15
The Doors,0.000445031,44
David Bowie,0.000442305,73
Robbie Williams,0.000441993,7
Peter Bjorn and John,0.000438112,5
Metro Station,0.000438025,4
Johnny Cash,0.000438009,20
Kendrick Lamar,0.000437762,68
Diddy – Dirty Money,0.000437605,2
Sido,0.000435203,6
The Cataracs,0.000434672,6
Duffy,0.000434078,4
Sheryl Crow,0.000432977,3
Daniel Powter,0.000430169,3
Anna Kendrick,0.000428988,2
The Offspring,0.000428241,21
Kimbra,0.000428145,4
blink‐182,0.000427703,29
Lil Jon & The East Side Boyz,0.000425916,42
Of Monsters and Men,0.000425719,2
Whitesnake,0.000425665,4
The Veronicas,0.000425448,3
Colbie Caillat,0.000425095,2
Krewella,0.000423964,5
CRO,0.000422777,7
Blu Cantrell,0.00042045,5
Edward Maya,0.000418434,2
星井美希,0.000417836,8
Ashlee Simpson,0.000416535,2
Matisyahu,0.000416364,1
The Script,0.000416364,1
Lea Michele,0.000416364,1
The Ready Set,0.000416364,1
Lights Over Paris,0.000416364,1
LEN,0.000416364,1
Emblem3,0.000416364,1
Greyson Chance,0.000416364,1
Raghav,0.000416364,1
Milky Chance,0.000416364,1
Anjulie,0.000416364,1
Corinne Bailey Rae,0.000416364,1
Havana Brown,0.000416364,1
These Kids Wear Crowns,0.000416364,1
Rixton,0.000416364,1
Mia Martina,0.000416364,1
Eleven Past One,0.000416364,1
Fefe Dobson,0.000416364,1
Vita Chambers,0.000416364,1
Robin Beanland,0.000409247,5
長沼英樹,0.000405689,54
Janet Jackson,0.000404621,38
Khia,0.000403419,15
The Temptations,0.000402176,29
T.I.,0.000400625,25
Genesis,0.000399913,27
The White Stripes,0.000399083,21
The Notorious B.I.G.,0.000398793,96
Pantera,0.00039698,10
光田康典,0.000395855,42
George Michael,0.000393734,27
Bring Me the Horizon,0.000391244,11
Marilyn Manson,0.000390595,24
Random,0.000387058,33
LL Cool J,0.000385524,38
The B‐52s,0.000384625,18
t.A.T.u.,0.000381914,30
Radiohead,0.000381447,78
R.E.M.,0.000374321,19
The Beach Boys,0.000372218,27
Meghan Trainor,0.000371797,11
BROCKHAMPTON,0.000370815,26
New Order,0.000367518,30
高橋洋子,0.000366546,18
Marvin Gaye,0.000366135,83
The Smashing Pumpkins,0.000364024,36
Peter Gabriel,0.00036231,26
Starship,0.000359891,6
Jim Jones,0.000358369,36
Bloc Party,0.000356783,11
Kelis,0.000356185,27
Baauer,0.000353667,12
Groove Armada,0.000351353,17
The Cure,0.000348926,34
Chingy,0.000347378,7
Amerie,0.000344566,11
Ari Pulkkinen,0.000343449,7
Def Leppard,0.000341245,7
Whitney Houston,0.000340582,19
泉こなた,0.000339292,8
Foo Fighters,0.000338829,27
中村正人,0.000338801,27
Tone‐Lōc,0.000338124,9
Chris Isaak,0.000336226,8
Bill Withers,0.000334613,31
Twisted Sister,0.000334193,4
Phil Collins,0.000333616,28
Crush 40,0.000333275,5
Jonas Brothers,0.000332926,9
Dead or Alive,0.000329466,17
The Proclaimers,0.00032935,14
竹内まりや,0.000328626,13
U2,0.000327831,33
The Chainsmokers,0.000327336,15
Ken Ashcorp,0.000327318,8
Daryl Hall & John Oates,0.000327277,34
N*E*R*D,0.000324829,13
LiSA,0.000324499,12
Ramones,0.000323227,23
Jan Delay,0.000321919,4
Bingo Players,0.000321073,9
Nickelback,0.000320061,16
C+C Music Factory,0.000319918,20
久保直人,0.00031936,8
Gossip,0.00031726,8
P.O.D.,0.000314343,6
Ted Poley,0.000313667,5
Marteria,0.000313072,4
Infernal,0.000312953,3
Bros,0.000312953,3
DJ Ötzi,0.000312953,3
Prince,0.000312179,48
Johnny Gioeli,0.000309454,11
Orelsan,0.000309141,52
Casey Edwards,0.000309101,7
高田雅史,0.000308473,15
John Lennon,0.000307646,19
山根ミチル,0.000307138,5
南波真理子,0.000307077,4
Manuel,0.000306908,4
STYLE FIVE,0.000306895,3
POLICEMAN,0.000306895,3
NicolArmarfi,0.000306895,3
中川翔子,0.000306895,3
DJ Jazzy Jeff & the Fresh Prince,0.00030559,21
Elton John,0.000304357,39
Megadeth,0.000298548,7
Blackstreet,0.000298457,9
Diplo,0.000294141,10
Grandmaster Flash & The Furious Five,0.000292717,46
Cutting Crew,0.000290063,7
Within Temptation,0.000286138,7
Basement Jaxx,0.000284742,22
Toby Fox,0.000284587,134
Dizzee Rascal,0.000282789,19
100 gecs,0.000279603,47
Spice Girls,0.000277411,22
Luis Fonsi,0.000277247,7
Third Eye Blind,0.000276986,23
MC Hammer,0.000275325,9
Tears for Fears,0.000275106,35
Mötley Crüe,0.000274741,8
Snap!,0.000273131,15
Creedence Clearwater Revival,0.000272715,8
Bob Dylan,0.000272111,36
Technotronic,0.000271706,18
Three 6 Mafia,0.00026973,28
Lizzo,0.000269331,13
Kate Nash,0.000266561,9
System of a Down,0.000264168,27
Dire Straits,0.000262795,11
Kevin Rudolf,0.000262476,7
Excision,0.000260482,17
The Living Tombstone,0.00025991,28
WALK THE MOON,0.000258254,9
Portugal. The Man,0.000257922,6
Wham!,0.000257837,9
Fedde Le Grand,0.000257003,7
Mr. Oizo,0.000256889,33
Stevie Wonder,0.000256761,52
Thrice,0.000255653,13
Deltron 3030,0.000255602,12
BodyRockers,0.000255556,3
Peaches,0.000255459,7
TryHardNinja,0.000255454,13
Lemon Demon,0.000253824,36
Belinda Carlisle,0.000252742,8
Björk,0.000252575,48
KISS,0.000251499,34
Akon,0.000250939,11
Montell Jordan,0.000250735,6
植松伸夫,0.0002501,76
Modest Mouse,0.000249077,21
Caramell,0.000247386,40
The Bangles,0.000246928,9
Jack Ü,0.000246918,8
INXS,0.000246898,15
Bonnie Tyler,0.000245932,11
Duran Duran,0.000244803,15
Silentó,0.000243693,7
Mariah Carey,0.000242304,43
Yeah Yeah Yeahs,0.000241026,24
Pet Shop Boys,0.000239759,24
Commodores,0.000239361,35
Eric Clapton,0.000238909,8
kmoe,0.000238905,18
Warren G,0.000238565,9
Harold Faltermeyer,0.000238306,11
Wild Cherry,0.000237771,12
Naughty by Nature,0.000237721,9
Jamie Christopherson,0.000235761,5
Doja Cat,0.000235317,22
Tag Team,0.000233752,6
T. Rex,0.000232805,10
Seal,0.000232414,8
Harry Enfield,0.00023172,6
James “D Train” Williams,0.000230633,4
The J. Geils Band,0.000230489,4
dead prez,0.000230342,10
Yes,0.000229921,12
Heavy D. & the Boyz,0.000229901,4
Will Smith,0.000229783,28
Franz Ferdinand,0.000227924,22
Jake Kaufman,0.000226998,8
The Strokes,0.000226909,17
Fetty Wap,0.00022685,11
Knife Party,0.000226817,23
Free,0.000226568,4
Stromae,0.000226036,28
The Avalanches,0.000225496,14
Don Diablo,0.000224503,4
Motörhead,0.00022337,10
Kid Cudi,0.000222882,16
supercell,0.000222649,22
עפרה חזה,0.00022228,7
宇多田ヒカル,0.000222227,34
John Cena,0.000221869,4
Faithless,0.000221811,13
The Romantics,0.000221399,7
Renegade Soundwave,0.000221397,23
Creed,0.000221225,5
EMF,0.000221083,3
Perfume,0.000220605,7
HOME MADE 家族,0.000220536,3
Billy Joel,0.000220393,21
Nas,0.000220153,53
Deichkind,0.000219578,7
Frauenarzt,0.000217602,3
Aaliyah,0.000216417,33
Dean Martin,0.000216326,5
Vanilla Ice,0.000215936,16
DJ Fresh,0.000214617,4
ACE+,0.000214036,3
Eazy‐E,0.000213698,28
Travis Scott,0.000213498,28
Michiel van den Bos,0.000213382,6
Compromised,0.000213002,10
NERO,0.000212769,7
Imogen Heap,0.000211683,23
Sum 41,0.000211438,11
Coda,0.000211207,4
John Desire,0.000211194,3
Mitchie M,0.000211194,3
Dada Life,0.000210716,5
Felguk,0.00021058,4
The Human League,0.000210414,21
Barenaked Ladies,0.000210347,11
Emeli Sandé,0.000210316,3
Foreigner,0.000210062,17
Tujamo,0.000209959,3
Peter Schilling,0.000209595,21
Deorro,0.000209518,3
上海アリス幻樂団,0.000209497,37
Kreator,0.000209471,3
Crookers,0.000209361,7
DJs From Mars,0.000208999,3
R3HAB,0.000208721,3
Laid Back,0.000208717,6
Klangkarussell,0.000208714,5
Dio,0.000208646,3
Jars of Clay,0.000208644,3
Hard‐Fi,0.000208644,3
Fragma,0.000208644,3
Mousse T.,0.000208635,2
Alkbottle,0.000208635,2
Turboneger,0.000208635,2
Monosurround,0.000208635,2
Modern Talking,0.000208635,2
Bombs Away,0.000208635,2
Haftbefehl,0.000208635,2
2CELLOS,0.000208635,2
Manowar,0.000208635,2
At the Gates,0.000208635,2
OKAY,0.000208635,2
The Vinyl Rippers,0.000208635,2
Skero,0.000208635,2
Marcapasos,0.000208635,2
Elliphant,0.000208635,2
The Marvelettes,0.000208283,3
ARIANNE,0.000208172,3
George Andreas,0.000207439,8
放課後ティータイム,0.000207262,13
Spencer Nilsen,0.000207198,6
岡部啓一,0.000206803,11
Shawn Mendes,0.000206641,9
Stealers Wheel,0.000206616,2
熊谷文恵,0.000206548,5
Beck,0.00020631,114
Sex Pistols,0.000206003,20
The Blackout Crew,0.000205921,3
Apathy,0.000205648,4
Bee Gees,0.000205226,26
阿良々木月火,0.000204615,4
高坂穂乃果,0.000204614,4
麻枝准,0.000204605,3
倖田來未,0.000204605,3
Keith Power,0.000204605,3
栗林みな実,0.000204605,3
FEX,0.000204605,3
Damjan Mravunac,0.000204596,2
戦場ヶ原ひたぎ,0.000204596,2
庄司英徳,0.000204596,2
Doug Robb,0.000204596,2
Paz Ortega Andrade,0.000204596,2
ALI,0.000204596,2
Ben Prunty,0.000204596,2
Bangs,0.000204596,2
オーイシマサヨシ,0.000204596,2
四条貴音,0.000204596,2
Tabitha Fair,0.000204596,2
GARNiDELiA,0.000204596,2
Tyson Yen,0.000204596,2
Jean Paul Makhlouf,0.000204596,2
STEREO DIVE FOUNDATION,0.000204596,2
Creepy Nuts,0.000204596,2
Funczion SOUNDS,0.000204596,2
すーぱーそに子,0.000204596,2
Tony Grayson,0.000204596,2
赤血球 AE3803,0.000204596,2
津島善子,0.000204596,2
Shade,0.000204596,2
Art of Noise,0.000204435,30
Rick James,0.000204375,39
The Jimi Hendrix Experience,0.000203349,29
Kaskade,0.000202593,20
Coolio,0.000199464,13
The Kid LAROI,0.000197384,11
岩崎琢,0.000197301,7
Gloria Gaynor,0.000196854,11
Arctic Monkeys,0.000196181,16
Talking Heads,0.000193912,24
Harry Styles,0.000192757,13
Jimmy Eat World,0.000192318,6
Richard Jacques,0.00019213,23
Melanie Martinez,0.000191418,9
Pendulum,0.000190914,21
Frankie Goes to Hollywood,0.000189525,11
Kool & the Gang,0.000189436,87
SOPHIE,0.000187353,25
Celldweller,0.000187327,23
SpongeBob SquarePants,0.000187099,6
Lil Jon,0.0001867,21
Bloodhound Gang,0.000186441,14
Diana Ross,0.000185628,33
Dem Franchize Boyz,0.000185555,10
Aretha Franklin,0.000185543,31
4 Non Blondes,0.000184856,7
The Cars,0.000184692,7
Thin Lizzy,0.000184493,9
平野綾,0.000184185,8
DJ Snake,0.000183275,9
Lenny Kravitz,0.000182482,15
Fleetwood Mac,0.000179919,29
Steely Dan,0.000179219,13
Noisestorm,0.000178964,8
XXXTENTACION,0.000178936,18
松浦雅也,0.00017839,9
Billy Squier,0.000177794,19
Queens of the Stone Age,0.000177144,20
田中公平,0.00017533,11
ABBA,0.000175264,33
Phoenix,0.000175115,14
Hannah Montana,0.000174897,5
Pink Floyd,0.000173435,66
Insane Clown Posse,0.000173349,6
Rockwell,0.000171792,9
Migos,0.000171768,8
Richard “Humpty” Vission,0.000170191,2
R. Kelly,0.00017003,21
Village People,0.000169695,11
The 2 Live Crew,0.000168919,9
Juice WRLD,0.000168211,6
Judas Priest,0.000167515,4
ZZ Top,0.000165075,9
2 Unlimited,0.00016496,10
きゃりーぱみゅぱみゅ,0.000164556,14
M|A|R|R|S,0.000164517,11
20 Fingers,0.000164464,5
Girls’ Generation,0.000163136,5
Cascada,0.000162506,10
Ice Cube,0.000162424,29
Lin‐Manuel Miranda,0.000161692,11
Ava Max,0.000161468,6
Amy Winehouse,0.000161194,12
Rednex,0.000160167,5
Rod Stewart,0.000159925,16
John Mellencamp,0.000159669,4
LazyTown,0.000159419,13
Roy Orbison,0.000159257,6
Rob Base & D.J. E‐Z Rock,0.00015914,17
C418,0.000159104,80
Shaggy,0.000157951,11
Unk,0.000157152,10
Breakbot,0.000157025,9
Scorpions,0.00015682,6
Was (Not Was),0.000155886,6
Camila Cabello,0.000155691,8
Charlie Puth,0.000155569,9
CAKE,0.000155169,13
Olivia Rodrigo,0.000155045,10
S3RL,0.000154947,20
Thirty Seconds to Mars,0.000153749,8
Barry White,0.00015374,34
The Mamas & the Papas,0.000153642,8
SebastiAn,0.000152832,11
Khalid,0.000152791,6
Under the Influence of Giants,0.000151238,2
茶太,0.000151186,7
Birdman,0.000150675,12
Avenged Sevenfold,0.000150491,9
"Earth, Wind & Fire",0.000150006,74
Wu‐Tang Clan,0.000149357,47
Mega Ran,0.000149101,7
Twista,0.000149035,15
Jason Mraz,0.000148603,5
Ozzy Osbourne,0.000148276,9
Tyga,0.000148168,11
Peter Fox,0.000148155,8
The Rembrandts,0.000147477,4
Huey Lewis and the News,0.000147012,5
Guns N’ Roses,0.000146833,11
James Gang,0.000146569,5
Black Box,0.000146473,6
Erasure,0.000146237,5
Soft Cell,0.000146167,9
Five Finger Death Punch,0.000146164,2
Ginuwine,0.000146101,11
Electric Light Orchestra,0.000145943,19
Air,0.000145696,10
Three Dog Night,0.000145062,6
Iggy Pop,0.000144617,14
Eric Prydz,0.000144505,8
Rebecca Black,0.000144268,7
Vitamin C,0.000144145,2
Marshmello,0.00014403,8
Young MC,0.000143954,18
Omarion,0.000143918,9
Baha Men,0.000143873,7
Masked Wolf,0.000142254,10
Bruce Springsteen,0.000141436,8
Chris Zabriskie,0.000141174,23
Kris Kross,0.000141093,4
JLS,0.000140762,3
Elvis Presley,0.000139635,9
KT Tunstall,0.000139506,7
Fugees,0.000139415,18
Toronto,0.000139366,5
John Travolta,0.000138713,5
Misfits,0.000138473,5
Haddaway,0.000138348,9
Rachel Platten,0.000138335,3
Propellerheads,0.000137982,6
Caravan Palace,0.000137192,8
Wolfmother,0.000137121,4
目黒将司,0.000136843,32
CHVRCHES,0.000136156,4
Incredible Bongo Band,0.000136069,26
Halogen,0.000135904,4
Paul McCartney,0.000135565,9
Tiësto,0.000135421,12
Yellowcard,0.00013499,9
Gucci Mane,0.000134794,21
Sugababes,0.000134787,7
Alstroemeria Records,0.000134653,22
Paul Hardcastle,0.000134391,3
いしわたり淳治,0.000134183,4
Jon Brion,0.000134177,3
The Trammps,0.000133744,8
Trey Songz,0.000133519,7
The Stooges,0.000132643,7
Crazy Town,0.000132387,5
Incubus,0.000132357,4
Endigo,0.000132291,5
Suzanne Vega,0.000131597,8
David Wise,0.000131287,14
The Pointer Sisters,0.000131184,12
Supertramp,0.000130608,8
Kid Rock,0.00013046,5
Eddie Murphy,0.000130276,4
Wale,0.000130254,5
Günther,0.000130029,3
Skillet,0.000129141,9
The Monkees,0.000128835,13
Los del Río,0.000128356,5
Bubba Sparxxx,0.000127941,4
Mars ILL,0.000127801,6
Hole,0.000127621,3
Bananarama,0.000126702,3
Bronski Beat,0.000126608,7
KC and the Sunshine Band,0.000126505,26
Mike Oldfield,0.000125889,13
Right Said Fred,0.000125748,7
Echosmith,0.00012574,3
Rancid,0.000125558,2
Chelley,0.000125558,2
Modern English,0.000125558,2
Black Label Society,0.000125541,3
Mis-Teeq,0.000125494,3
DragonForce,0.000124722,14
Dream,0.000123172,2
Ashanti,0.00012256,7
Chic,0.000122341,50
Andrew Gold,0.00012208,3
Gigi D’Agostino,0.000121967,6
Skunk Anansie,0.000121763,3
Jefferson Airplane,0.000121564,10
Sak Noel,0.000121483,2
Hyper,0.000121483,2
Soul Khan,0.000121483,2
Beats International,0.000121003,4
Craig David,0.000120974,6
Lil Peep,0.000120929,5
Ennio Morricone,0.000120815,40
Eve,0.000120786,5
The Verve,0.000120591,13
Martha Reeves and the Vandellas,0.000120279,4
Tom Jones,0.000120217,4
Danzig,0.0001201,2
Kawai Sprite,0.000120032,4
SZA,0.000119978,3
Alexander Brandon,0.000119811,8
Mindless Self Indulgence,0.000119768,4
JustinRPG,0.000119662,2
下村陽子,0.000119523,59
Anamanaguchi,0.000119468,3
Indeep,0.000119252,17
藍井エイル,0.000118765,5
平田志穂子,0.000118702,10
ワルキューレ,0.000118552,7
K/DA,0.000118516,7
FLOW,0.000118242,3
こみっくがーるず,0.000118237,2
種島ぽぷら,0.000118237,2
Tweet,0.00011819,8
Metro Boomin,0.000118145,7
Power Glove,0.000118081,2
Steve Aoki,0.000117561,7
Moloko,0.00011735,12
The Bloody Beetroots,0.000116914,5
Keri Hilson,0.000116902,5
Fatty Spins,0.000116854,14
Mylo,0.00011644,5
AWOLNATION,0.000116289,8
Touch and Go,0.000115848,3
Hardwell,0.000115825,3
Grant Kirkhope,0.000115676,8
Blondie,0.000115667,32
A Flock of Seagulls,0.000115644,6
幡谷尚史,0.000115077,7
Lady Sovereign,0.000114885,3
Afroman,0.000114857,3
Janis Joplin,0.000114857,3
Alice Cooper,0.000114623,5
LADY,0.000114532,5
Nick Jonas,0.000114475,3
James Brown & The Famous Flames,0.000114456,9
Alice Cooper,0.000114411,4
Flux Pavilion,0.000114255,7
CG5,0.000114228,2
OK Go,0.000114086,11
Hot Chocolate,0.00011398,8
Spin Doctors,0.000113829,2
Hail Mary Mallon,0.000113724,4
mgk,0.000113687,2
Iggy and The Stooges,0.000113673,2
