brazilian_source_track,times_sampled_total,by_brazil,by_foreign
Lorena Simpson — Breathe Again (2012) [Brazil],2,2,0
Darth & Vader — Extermination (2014) [Brazil],2,2,0
Bebel Gilberto — Close Your Eyes (2000) [Brazil],2,2,0
Raul Seixas — Como vovó já dizia (2014) [Brazil],2,2,0
Zetta — Run the City (2018) [Brazil],2,2,0
Michel Teló — Barà barà berê berê (2012) [Brazil],2,2,0
Alok — All I Want (2017) [Brazil],2,2,0
Vintage Culture — Pleasure Chasers (2024) [Brazil],2,2,0
Bebel Gilberto — Tanto tempo (2000) [Brazil],2,2,0
Pecadores — Quem Não Morre Não Vê Deus (2010) [Brazil],2,2,0
Vintage Culture — Nirvana (original mix) (2025) [Brazil],2,2,0
Tiago Frúgoli Ensemble — Água doce (2019) [Brazil],2,2,0
Level 2 — Bite The Bone (2022) [Brazil],2,2,0
Dirtyloud — Get Down (2016) [Brazil],2,2,0
Bungle — The Siren (2011) [Brazil],2,2,0
Nicolas Vogler — A Cyberpunk Novel (2025) [Brazil],2,2,0
Vicissu — Start Again (Original Mix) (2020) [Brazil],2,2,0
Digitaria — Shine (2013) [Brazil],2,2,0
Azymuth — Esperando minha vez (1975) [Brazil],2,2,0
Darth & Vader — Howling (2014) [Brazil],2,2,0
Digitaria — Paradise (2011) [Brazil],2,2,0
Alok — Wherever You Go (2021) [Brazil],2,2,0
Deize Tigrona — Prostituto (2012) [Brazil],2,2,0
Aesthetische — Get It Done (2012) [Brazil],2,2,0
Tiago Frúgoli Ensemble — Longe (2019) [Brazil],2,2,0
Babí — Anjo da Madrugada (2009) [Brazil],2,2,0
Felguk — Like Home (2017) [Brazil],2,2,0
Vintage Culture — Find A Way (2024) [Brazil],2,2,0
Banda Uó — Cowboy (2012) [Brazil],2,2,0
Shapeless — Ritual (2017) [Brazil],2,2,0
Felguk — Side By Side (2021) [Brazil],2,2,0
LS Jack — LS Jack (1999) [Brazil],2,2,0
Diogo Strausz — Dan=ça (2024) [Brazil],2,2,0
Devath — Chroma Control (2020) [Brazil],2,2,0
Kaito Aman — Disruption (2025) [Brazil],2,2,0
Digitaria — Decay (2016) [Brazil],2,2,0
Darth & Vader — Empire Strikes Back (2013) [Brazil],2,2,0
Cement Tea — Russian Roulette (2020) [Brazil],2,2,0
Gabe — Non Sense (2014) [Brazil],2,2,0
Vintage Culture — Nothing Ever Changes (2024) [Brazil],2,2,0
Tiago Iorc — Nothing but a Song (2008) [Brazil],2,2,0
Chico Science — Maracatu Atômico (1996) [Brazil],2,2,0
Flavia Coelho — Sunshine (acoustic version) (2010) [Brazil],2,2,0
Bebel Gilberto — Sem contenção (2000) [Brazil],2,2,0
