brazilian_source_track,times_sampled_total,by_brazil,by_foreign
Azymuth — Estrada dos deuses (1975) [Brazil],1,1,0
GUSTAVOEGATOTV — Oãdilos (2023) [Brazil],1,1,0
Earthspace — The Law Of Attraction (2017) [Brazil],1,1,0
TonyZ — Road So Far (2017) [Brazil],1,1,0
Beme — Lakshmi (2021) [Brazil],1,1,0
Devath — Softcore (2020) [Brazil],1,1,0
Pabllo Vittar — Follow Me (2022) [Brazil],1,1,0
Wanessa Camargo — Nosso som (2020) [Brazil],1,1,0
Renato Cohen — Say Yes (2022) [Brazil],1,1,0
DZP — Bhangra (2017) [Brazil],1,1,0
GUSTAVOEGATOTV — VITÓRIA (2023) [Brazil],1,1,0
Cement Tea — Puddle Of Worms (2020) [Brazil],1,1,0
SPECT3R — Stfu (2022) [Brazil],1,1,0
Chipz — Story (extended mix) (2023) [Brazil],1,1,0
Gui Boratto — Drink in Paris (2023) [Brazil],1,1,0
Digitaria — Favourite Addiction (2014) [Brazil],1,1,0
Reverence — My Heart Went Boom (2023) [Brazil],1,1,0
Gui Boratto — Human (extended mix) (2019) [Brazil],1,1,0
Jorge & Mateus — A hora é agora (2012) [Brazil],1,1,0
Bonde do Rolê — Melô do tabaco (2006) [Brazil],1,1,0
Chico Science — Corpo de Lama (1996) [Brazil],1,1,0
Amon Tobin — Ever Falling (2007) [Brazil],1,1,0
Amon Tobin — Straight Psyche (2007) [Brazil],1,1,0
Amon Tobin — Keep Your Distance (2007) [Brazil],1,1,0
Amon Tobin — Always (2007) [Brazil],1,1,0
Cement Tea — Something Broke (2020) [Brazil],1,1,0
Alibi — Directions (2019) [Brazil],1,1,0
Gal Costa — Lágrimas negras (1974) [Brazil],1,1,0
Bebel Gilberto — Alguém (2000) [Brazil],1,1,0
Paulinho Moska — Falsa Baiana (2000) [Brazil],1,1,0
Fourth World — Fica Mal Com Deus (2000) [Brazil],1,1,0
Ricardo Donoso — The Sphinx (2013) [Brazil],1,1,0
Ricardo Donoso — Affirmation (2013) [Brazil],1,1,0
Chico Buarque — Cálice (1978) [Brazil],1,1,0
Geraldo Vandré — Pra não dizer que não falei das flores (-1) [Brazil],1,1,0
Gusttavo Lima — Fui fiel (2014) [Brazil],1,1,0
Chico Science — Macô (1996) [Brazil],1,1,0
Cement Tea — Akari The Timetraveler (2020) [Brazil],1,1,0
Gui Boratto — Like You (original mix) (2006) [Brazil],1,1,0
Kurup — Tempestade (2019) [Brazil],1,1,0
Vintage Culture — Just Like Home (2024) [Brazil],1,1,0
Bebel Gilberto — All Around (2004) [Brazil],1,1,0
Cement Tea — Marimba (2020) [Brazil],1,1,0
nocapz. — Deja Vu (extended mix) (2024) [Brazil],1,1,0
Sérgio Mendes & Brasil ’66 — So Many Stars (1967) [Brazil],1,1,0
Wanessa Camargo — Vou lembrar (2019) [Brazil],1,1,0
Aretuza Lovi — Vagabundo (2017) [Brazil],1,1,0
Zerb — Addicted (extended mix) (2024) [Brazil],1,1,0
Bebel Gilberto — Mais feliz (2000) [Brazil],1,1,0
Cement Tea — Fantasy Mode (2020) [Brazil],1,1,0
Alibi — The Hornet (2016) [Brazil],1,1,0
Los Hermanos — Anna Júlia (1999) [Brazil],1,1,0
GUSTAVOEGATOTV — Pista 3.0 (2022) [Brazil],1,1,0
Lucas Santtana — Ninguém solta a mão de ninguém (2019) [Brazil],1,1,0
Burn in Noise — Vuuv Festival Celebration (2012) [Brazil],1,1,0
Maísa Silva — Nhenhenhem (2014) [Brazil],1,1,0
Lucas Santtana — Tática de machine (2003) [Brazil],1,1,0
Anitta — Me Gusta (remix) (2020) [Brazil],1,1,0
DJ Chap — Don’t Wait for Me (2013) [Brazil],1,1,0
GUSTAVOEGATOTV — Meu Primeiro Phonk (2023) [Brazil],1,1,0
Alok — Tell Me Why (2019) [Brazil],1,1,0
Anitta — Fria (2024) [Brazil],1,1,0
João Neto & Frederico — Clichê (2013) [Brazil],1,1,0
Bebel Gilberto — Bananeira (2000) [Brazil],1,1,0
Cement Tea — The Pit (2020) [Brazil],1,1,0
Sérgio Mendes & Brasil ’66 — Slow Hot Wind (1966) [Brazil],1,1,0
DENNIS — Tá OK (2023) [Brazil],1,1,0
Alok — Wherever You Go (extended mix) (2022) [Brazil],1,1,0
Gabriel o Pensador — Brazuca (1998) [Brazil],1,1,0
Flavia Coelho — O que sou (2010) [Brazil],1,1,0
Burn in Noise — Beyond Known Space (2014) [Brazil],1,1,0
Altruism — Endless Smile (2019) [Brazil],1,1,0
Pabllo Vittar — Open Bar (2015) [Brazil],1,1,0
Barbatuques — Kererê (2015) [Brazil],1,1,0
Flavia Coelho — Vem Chamegar (2019) [Brazil],1,1,0
Amon Tobin — Hokkaido (2005) [Brazil],1,1,0
KIBI — Dream (2024) [Brazil],1,1,0
"Ricardo Donoso — Open Drawer, Full of Masks (2013) [Brazil]",1,1,0
Anitta — Girl From Rio (2021) [Brazil],1,1,0
Amon Tobin — Journeyman (2011) [Brazil],1,1,0
Urbandawn — Warp Drive (2015) [Brazil],1,1,0
Azymuth — Melô dos dois bicudos (1975) [Brazil],1,1,0
Tim Maia — Ela partiu (1974) [Brazil],1,1,0
GUSTAVOEGATOTV — O Famoso 6 Dedos (2023) [Brazil],1,1,0
Maneva — Preto pobre suburbano (2006) [Brazil],1,1,0
The Fish House — Banged (2011) [Brazil],1,1,0
Alibi — Trunk (2017) [Brazil],1,1,0
Luccas Neto — Faz Brilhar (2022) [Brazil],1,1,0
GUSTAVOEGATOTV — Rapidinha (2024) [Brazil],1,1,0
Aesthetische — Stupid People Fuck Off (2012) [Brazil],1,1,0
Léo Leobons — São Bento pra Ramiro (2018) [Brazil],1,1,0
Scorsi — Tumbah (2018) [Brazil],1,1,0
暗闇DESTINY — A New Day (2022) [Brazil],1,1,0
Vintage Culture — Strange Feelings (2024) [Brazil],1,1,0
Urbandawn — Spectrum (2015) [Brazil],1,1,0
Wanessa Camargo — Quem Sou Eu (2023) [Brazil],1,1,0
Kurup — Quenacho Fuji (2019) [Brazil],1,1,0
Gabe — Joker (2020) [Brazil],1,1,0
MC Fioti — Bum bum tam tam (Jax Jones remix) (2018) [Brazil],1,1,0
Critycal Dub — Situations (2013) [Brazil],1,1,0
Lexa — Movimento (2017) [Brazil],1,1,0
Cement Tea — Boredom (2018) [Brazil],1,1,0
Amon Tobin — Theme From Battery (2005) [Brazil],1,1,0
Paradizzle — Drowned (2016) [Brazil],1,1,0
Amon Tobin — Bloodstone (2006) [Brazil],1,1,0
Dr. Silvana & Cia — Serão Extra (1985) [Brazil],1,1,0
GUSTAVOEGATOTV — Mac Plus (2021) [Brazil],1,1,0
Bungle — Cocooned (2017) [Brazil],1,1,0
Alibi — Rave Digger (2022) [Brazil],1,1,0
Jaloo — Ah! Dor! (2015) [Brazil],1,1,0
DJ Chap — Inna Streets (2013) [Brazil],1,1,0
Belchior — Sujeito de sorte (1976) [Brazil],1,1,0
Amon Tobin — Ruthless (reprise) (2005) [Brazil],1,1,0
FTampa — 5 Days (2014) [Brazil],1,1,0
Renato Cohen — Acid Rollercoaster (2023) [Brazil],1,1,0
Alok — Allein Allein (2024) [Brazil],1,1,0
Planet Hemp — Dig dig dig (hempa) (1995) [Brazil],1,1,0
Wrecked Machines — Face It (2006) [Brazil],1,1,0
FFLORA — Butterflies (2021) [Brazil],1,1,0
Flavia Coelho — De Paris à Rio (2010) [Brazil],1,1,0
LS Jack — Você chegou (1999) [Brazil],1,1,0
Anitta — Girl From Rio (2021) [Brazil],1,1,0
André Sobota — Saturate (2019) [Brazil],1,1,0
Azymuth — Manhã (1975) [Brazil],1,1,0
Nação Zumbi — Banditismo Por Uma Questão de Classe (1994) [Brazil],1,1,0
Azymuth — Arabutã (2025) [Brazil],1,1,0
Sérgio Mendes — Comin' Home Baby (1968) [Brazil],1,1,0
Nação Zumbi — Risoflora (1994) [Brazil],1,1,0
Edson Cordeiro — Ave Maria (1996) [Brazil],1,1,0
Kelly Key — Quarto 313 (2015) [Brazil],1,1,0
Azymuth — Montreal City (1975) [Brazil],1,1,0
Phillipi & Rodrigo — New Beach (2016) [Brazil],1,1,0
"Francisco, el Hombre — Triste, Louca ou Má (2016) [Brazil]",1,1,0
Jaloo — A cidade (2015) [Brazil],1,1,0
Flavia Coelho — Bossa bika nova (2010) [Brazil],1,1,0
Digitaria — Favourite Addiction (2014) [Brazil],1,1,0
Maria Rita — Cântico brasileiro nº 3 (Kamaiurá) (1988) [Brazil],1,1,0
Léo Leobons — Rei do Norte (2018) [Brazil],1,1,0
Elowinz — Unifield Fabric (2019) [Brazil],1,1,0
Amon Tobin — Cruel Like Flint (2020) [Brazil],1,1,0
Azymuth — Faça de conta (1975) [Brazil],1,1,0
Level 2 — Fast Lane (2013) [Brazil],1,1,0
MC Fioti — Bum bum tam tam (Jonas Blue remix) (2018) [Brazil],1,1,0
Urbandawn — Words to Say (2014) [Brazil],1,1,0
FTampa — Run Away (vocal mix) (2013) [Brazil],1,1,0
Aesthetische — Red Trackers (2013) [Brazil],1,1,0
CSS — Let’s Make Love and Listen to Death From Above (2005) [Brazil],1,1,0
Arnaldo & Andressa — Altilla noyolo (2017) [Brazil],1,1,0
Michel Teló — Ai se eu te pego! (2011) [Brazil],1,1,0
Sérgio Mendes — Maracatu atômico (2010) [Brazil],1,1,0
Léo Leobons — Teu amor (2018) [Brazil],1,1,0
Zuffo — Mess (extended mix) (2023) [Brazil],1,1,0
Burn in Noise — Utopia (2020) [Brazil],1,1,0
Future Class — Saxfaction (2021) [Brazil],1,1,0
Darth & Vader — LukeSkyTampa (2011) [Brazil],1,1,0
G-Low — System Protected (Darth & Vader remix) (2011) [Brazil],1,1,0
Future Frog — Disco Dancer (Darth & Vader remix) (2011) [Brazil],1,1,0
Vintage Culture — Too Far Down the Trap (2024) [Brazil],1,1,0
Aesthetische — Punch! (2012) [Brazil],1,1,0
Léo Leobons — All of Those Things (2018) [Brazil],1,1,0
Nação Zumbi — A Cidade (1994) [Brazil],1,1,0
Ricardo Donoso — Diagonal Environment (2013) [Brazil],1,1,0
FTampa — My Day (2011) [Brazil],1,1,0
Nação Zumbi — Côco Dub (Afrociberdelia) (1994) [Brazil],1,1,0
Ruback — Save It (2015) [Brazil],1,1,0
"LUDMILLA — Down, Down, Down (2022) [Brazil]",1,1,0
Léo Leobons — Arará (2018) [Brazil],1,1,0
Rouge — Hoje eu sei (2002) [Brazil],1,1,0
GUSTAVOEGATOTV — Atimia (2023) [Brazil],1,1,0
Amon Tobin — The Clean Up (2005) [Brazil],1,1,0
"Chico Buarque — Quem te viu, quem te vê (1994) [Brazil]",1,1,0
Quarteto em Cy — Tudo que você podia ser (1997) [Brazil],1,1,0
Flavia Coelho — Amor e futebol (2010) [Brazil],1,1,0
Scorsi — Crossover (2018) [Brazil],1,1,0
Léo Leobons — Vida (2018) [Brazil],1,1,0
Bonde do Rolê — Marina gasolina (2007) [Brazil],1,1,0
O Rappa — Minha alma (A paz que eu não quero) (1999) [Brazil],1,1,0
Flavia Coelho — De Novo de Novo (2019) [Brazil],1,1,0
GUSTAVOEGATOTV — O Planeta Perfeito (2025) [Brazil],1,1,0
Azymuth — Jazz Carnival (Space Jazz mix) (1996) [Brazil],1,1,0
Marcão Baixada — Automóvel Clube (Funk Mix) (2017) [Brazil],1,1,0
Jam Thieves — Mammoth (2022) [Brazil],1,1,0
HNQO — Drexell (2023) [Brazil],1,1,0
Diogo Strausz — Flexível (extended) (2024) [Brazil],1,1,0
Naná Vasconcelos — Justo você Berenice (2004) [Brazil],1,1,0
Nitri — Break the System (2013) [Brazil],1,1,0
CSS — Let’s Make Love and Listen to Death From Above (2007) [Brazil],1,1,0
Aesthetische — Omni Presence (2012) [Brazil],1,1,0
Digitaria — Teen Years (2007) [Brazil],1,1,0
Kurup — Nheengatu (2017) [Brazil],1,1,0
Diego & Arnaldo — Relógio parado (2019) [Brazil],1,1,0
Urbandawn — Come Together (2019) [Brazil],1,1,0
DuoScience — Night Traffic (2018) [Brazil],1,1,0
Anitta — Envolver (2021) [Brazil],1,1,0
Burn in Noise — Psy Drugs (2006) [Brazil],1,1,0
Amon Tobin — Displaced (2005) [Brazil],1,1,0
Föxx Salema — Constant Fight (2013) [Brazil],1,1,0
暗闇DESTINY — 日光SUNRISE (2022) [Brazil],1,1,0
Kaito Aman — Disruption (Lucas Romagnoli remix) (2025) [Brazil],1,1,0
Cement Tea — Mental Gauge (2020) [Brazil],1,1,0
Felguk — Slice & Dice (2013) [Brazil],1,1,0
"Nação Zumbi — Rios, pontes e overdrives (1994) [Brazil]",1,1,0
Oliver Ferrer — Night Rain (Original Mix) (-1) [Brazil],1,1,0
