corridor_deriv_draws_from_source,weight
folk → folk rock,45
east coast hip hop → hip hop,45
plunderphonics → k-pop,45
pop → house,44
art rock → rock,44
ambient → jazz,43
electronic → art pop,43
electronic → dub,43
hip hop → new wave,43
pop → europop,43
dubstep → ambient,43
soul → pop,43
sound collage → rock,43
electronic → post-rock,42
hip hop → trap,42
pop rock → j-pop,42
experimental → j-pop,42
experimental → ambient,42
electro → dance,42
dance → alternative rock,42
alternative r&b → pop,42
complextro → electro house,42
trance → progressive trance,42
downtempo → hip hop,42
hip hop → classic rock,41
pop rock → alternative rock,41
electro house → electro,41
electro house → house,41
deep house → ambient,41
ballad → electronic,41
ambient → classical,40
hip hop → easy listening,40
dance → rock,40
trance → dance,40
drum and bass → halftime,39
pop → indie pop,39
pop → jazz,39
eurobeat → dance,39
dance → edm,39
dance → industrial,39
progressive house → tech house,39
breakbeat → dubstep,39
breakbeat → j-pop,39
aggrotech → electronic,39
hip hop → pop rock,38
disco → rock,38
electro → new wave,38
electro → rock,38
j-pop → j-rock,38
breaks → pop,38
dubstep → melodic dubstep,38
country → rock,38
progressive house → dance-pop,38
progressive house → dance,38
alternative rock → punk,38
dance-pop → new wave,38
dance-pop → alternative rock,38
alternative hip hop → hip hop,38
electronic rock → industrial,38
trip hop → electronic,38
chillout → downtempo,38
electronic → instrumental,37
hip hop → jazz-funk,37
rock → country,37
deep house → downtempo,37
downtempo → alternative rock,37
blues rock → rock,37
synthwave → acid house,37
ambient → electro,36
electronic → psychedelic rock,36
hip hop → blues rock,36
hip hop → progressive rock,36
pop rock → new wave,36
disco → funk,36
r&b → contemporary r&b,36
contemporary r&b → electronic,36
alternative rock → new wave,36
funk → soul,36
alternative pop → pop,36
synth-pop → dance-pop,36
indie pop → electronic,36
ambient → dark ambient,35
hip hop → boom bap,35
pop → electro,35
disco → hip hop,35
disco → dance,35
electro → house,35
dance → contemporary r&b,35
breaks → hip hop,35
breakbeat → ambient,35
idm → electronic,35
industrial rock → industrial,35
electronic → j-rock,34
hip hop → crunk,34
rock → heavy metal,34
drum and bass → ambient,34
dance → trance,34
electro-industrial → electronic,34
alternative rock → pop rock,34
ebm → dark wave,34
breakcore → j-pop,34
dub techno → electronic,34
dark wave → ebm,34
dariacore → hip hop,34
plunderphonics → j-pop,34
dark electro → ebm,34
electronic → tech house,33
hip hop → dirty south,33
hip hop → chiptune,33
drum and bass → alternative rock,33
blues → swamp pop,33
experimental → house,33
electropop → dance-pop,33
club → pop,33
dub → reggae,33
trance → pop,33
indie pop → indie rock,33
dariacore → hyperpop,33
synthwave → electronic,33
leftfield → electronic,33
ambient → post-rock,32
hip hop → indie rock,32
hip hop → latin,32
hip hop → downtempo,32
drum and bass → rock,32
drum and bass → breakbeat,32
house → hip hop,32
electro → synth-pop,32
electro → industrial,32
j-pop → ballad,32
edm → dubstep,32
soul → disco,32
funk → pop,32
breakbeat → industrial,32
chiptune → pop,32
plunderphonics → electronic,32
plunderphonics → cinematic classical,32
electronic → bossa nova,31
electronic → eurodance,31
electro → alternative rock,31
j-pop → contemporary r&b,31
neue deutsche welle → electronic,31
bass house → electronic,31
industrial → industrial metal,31
art rock → progressive rock,31
broken beat → electronic,31
punk → hardcore punk,31
punk rock → punk,31
chiptune → hip hop,31
extratone → speedcore,31
ambient → power metal,30
ambient → drone,30
electronic → darksynth,30
electronic → italo-disco,30
hip hop → folk,30
hip hop → dance,30
rock → new wave,30
pop → indie rock,30
pop → chanson française,30
pop → country,30
house → dance-pop,30
j-pop → hip hop,30
dubstep → electro,30
dubstep → progressive house,30
folk rock → classic rock,30
dancehall → reggae,30
dancehall → hip hop,30
breakbeat → alternative rock,30
jungle → electronic,30
schlager → pop,30
electroclash → electronic,30
goa trance → electronic,30
teen pop → j-pop,30
ambient → experimental,29
ambient → dub,29
electronic → future bass,29
electronic → alternative pop,29
electro → electro house,29
electro house → dance-pop,29
electro house → complextro,29
dubstep → hybrid trap,29
downtempo → dub,29
heavy metal → metal,29
alternative metal → metalcore,29
lolicore → breakcore,29
cool jazz → jazz,29
ambient → experimental hip hop,28
electronic → trip hop,28
hip hop → alternative hip hop,28
rock → metal,28
electro → indie rock,28
new wave → pop,28
alternative dance → electronic,28
progressive house → complextro,28
contemporary r&b → funk,28
big beat → pop,28
alternative rock → indie pop,28
jazz → blues,28
nerdcore → hip hop,28
art pop → electronic,28
chillout → ambient,28
future funk → house,28
electronic → industrial rock,27
hip hop → j-pop,27
hip hop → dancehall,27
pop → j-pop,27
disco → new wave,27
house → ambient,27
dance → ambient,27
neue deutsche welle → pop,27
new wave → rock,27
bass house → dance,27
alternative rock → folk,27
dance-pop → rock,27
dance-pop → electro house,27
dancehall → electronic,27
breakbeat → dance,27
dirty south → hip hop,27
doom metal → alternative rock,27
orchestral → chiptune,27
nu metal → alternative metal,27
nu metal → alternative rock,27
dark ambient → ambient,27
grindcore → death metal,27
euro house → electronic,27
electronic → europop,26
electronic → alternative r&b,26
pop → blues,26
pop → synth-pop,26
pop → soft rock,26
electro → disco,26
electro → downtempo,26
breaks → downtempo,26
big room house → electro house,26
electro house → dubstep,26
dubstep → bass house,26
dubstep → grime,26
deep house → electro,26
alternative dance → dance-pop,26
indie rock → indie pop,26
progressive house → pop,26
progressive house → house,26
big beat → hip hop,26
jazz → electronic,26
jazz → big band,26
classic rock → hard rock,26
classic rock → progressive rock,26
dance-pop → house,26
breakcore → alternative rock,26
breakcore → funk,26
idol kayō → j-pop,26
indie pop → alternative rock,26
new age → ambient,26
sound collage → electronic,26
arena rock → hard rock,26
experimental hip hop → electronic,26
ambient → indie rock,25
ambient → breakbeat,25
electronic → euro house,25
electronic → easy listening,25
rock → blues rock,25
j-pop → dance,25
dance → jazz,25
reggae → dancehall,25
r&b → hip hop,25
electro house → progressive house,25
breakbeat → disco,25
alternative metal → dancehall,25
europop → electronic,25
plunderphonics → alternative rock,25
sketch comedy → classical,25
cyberpunk → electronic,25
ambient → folk,24
ambient → industrial,24
electronic → hardcore techno,24
electronic → modern classical,24
electronic → chillwave,24
rock → thrash metal,24
rock → swamp pop,24
dance → j-pop,24
big room house → dance,24
edm → electro,24
electro house → bass house,24
classical → electronic,24
alternative rock → latin,24
alternative rock → jazz,24
breakcore → dance-pop,24
industrial → heavy metal,24
folk rock → folk,24
trance → j-pop,24
folk → rock,24
downtempo → j-pop,24
downtempo → dubstep,24
trap → hip hop,24
breakbeat → electro,24
breakbeat → big beat,24
alternative metal → alternative rock,24
east coast hip hop → funk,24
alternative hip hop → pop,24
indie pop → rock,24
chiptune → ambient,24
dariacore → digicore,24
digicore → emo rap,24
plunderphonics → chiptune,24
synthwave → indie pop,24
cantopop → ballad,24
grime → hip hop,24
dark electro → electronic,24
electronic → brostep,23
electronic → speedcore,23
hip hop → dub,23
hip hop → hardcore hip hop,23
pop → classic rock,23
pop → folk,23
disco → house,23
breaks → dubstep,23
r&b → funk,23
contemporary r&b → j-pop,23
drone → electronic,23
soul → r&b,23
dance-pop → electropop,23
breakcore → ambient,23
folk rock → pop,23
ambient pop → electronic,23
alternative metal → heavy metal,23
acid techno → techno,23
rockabilly → rock,23
cumbia → latin,23
progressive psytrance → electronic,23
wave → electronic,23
electronic → k-pop,22
electronic → dream pop,22
hip hop → ambient,22
drum and bass → deep drum and bass,22
drum and bass → electro,22
disco → electro,22
house → progressive house,22
experimental → chiptune,22
electropop → dance,22
alternative rock → alternative metal,22
alternative rock → art rock,22
funk → electronic,22
trance → downtempo,22
breakbeat → funk,22
punk → rock,22
happy hardcore → uk hardcore,22
dutch house → dance,22
acid jazz → jazz,22
contemporary folk → ballad,22
ambient → drum and bass,21
electronic → 2-step,21
electronic → complextro,21
electronic → happy hardcore,21
electronic → indietronica,21
hip hop → g-funk,21
rock → r&b,21
drum and bass → funk,21
blues → country,21
pop → downtempo,21
experimental → electro,21
electro → dark wave,21
dance → broken beat,21
electro house → j-pop,21
dubstep → house,21
hard rock → alternative rock,21
deep house → soul,21
alternative dance → alternative rock,21
k-pop → pop,21
latin → pop,21
reggaeton → hip hop,21
boom bap → jazz,21
cloud rap → hip hop,21
future bass → dance,21
metal → heavy metal,21
brostep → dubstep,21
