foreign_source_track  times_sampled_by_brazil
----------------------------------------------------------------------
Lyn Collins — Think (About It) (1972) [United States]  8
Perfect Cell — Cellbacca (2010) [(unknown)]  5
James Brown — The Payback (1991) [United States]  2
μ's — 僕らは今のなかで (2013) [Japan]  2
Kansas City Express — This Is the Place (2019) [(unknown)]  2
Klopfgeister — Tomorrow (2014) [Germany]  2
Franz Ferdinand — The Dark of the Matinée (2004) [United Kingdom]  2
Lokua Kanza — Plus vivant (feat. Corneille) (2005) [Democratic Republic of the Congo]  1
Cecilia Krull — My Life Is Going On (2017) [Spain]  1
Run‐D.M.C. — Dumb Girl (1986) [United States]  1
N.W.A — She Swallowed It (1991) [United States]  1
James Brown — Funky President (People It’s Bad) (1974) [United States]  1
The Blackbyrds — Do It Fluid (1995) [United States]  1
The Honey Drippers — Impeach the President (1973) [United States]  1
James Brown — Papa Don’t Take No Mess (1991) [United States]  1
Hi-5 — So Many Animals (2000) [Australia]  1
Lilly Wood and The Prick — Prayer in C (2010) [France]  1
Ice Cube — The Predator (1992) [United States]  1
Funkadelic — Music for My Mother (1992) [United States]  1
The Soul Searchers — Ashley’s Roachclip (1998) [United States]  1
Ｓｐａｔｉａｌ Ｍａｎｕｆａｃｔｕｒｅ Ｌｔｄ. — 𝙽𝚒𝚗𝚎 𝙸𝚗𝚌𝚑 𝙲𝚊𝚜𝚝𝚕𝚎𝚜 (2020) [United States]  1
꧁꧂ — 12З (2020) [Russia]  1
CXRPSE — CLOUDY DAYS (2016) [(unknown)]  1
sleepy randy — river (2021) [(unknown)]  1
Chic — Good Times (1979) [United States]  1
Black Eyed Peas — Pump It (2005) [United States]  1
Isaac Hayes — Walk on By (1969) [United States]  1
ESG — UFO (1981) [United States]  1
Michael Jackson — Thriller (2006) [United States]  1
Marvin Gaye — “T” Stands for Trouble (1972) [United States]  1
Detroyt — Seriously in Love (1984) [United States]  1
μ's — Snow halation (2010) [Japan]  1
Slayer — Angel of Death (1986) [United States]  1
James Brown — Funky Drummer, Part 1 (1970) [United States]  1
James Brown — Mind Power (2005) [United States]  1
Dr Meaker — Right Back (Break remix) (2016) [United Kingdom]  1
MC Fats — Inner Soul (2016) [United Kingdom]  1
Paul T — Into the Night (2016) [United Kingdom]  1
BTK — Try (2016) [United Kingdom]  1
Paul T — I Still Love You (2016) [United Kingdom]  1
Digital & Spirit — Garrison Law (2016) [United Kingdom]  1
Need for Mirrors — Bredren (2016) [United Kingdom]  1
Paul T — Rain (2016) [United Kingdom]  1
Mr Joseph — Soul Girl (2016) [United Kingdom]  1
Kabuki — Just Hold on VIP (2016) [Germany]  1
Serum — Dark Clouds (2016) [(unknown)]  1
Tonk — All Dem Sound (2016) [(unknown)]  1
Serum — Wiretap (2016) [(unknown)]  1
Does Not Compute — Stalker (2016) [(unknown)]  1
Simplification — I Need You Now (2016) [(unknown)]  1
